Blaster 3 6 [0, 1, 2, 4, 5, 7] Mon Aug 23 21:03:52 2021
[36, 14, 22, 30, 44, 57]
[36, 14, 22, 30, 44, 59]
[36, 14, 22, 30, 44, 61]
[36, 14, 22, 30, 44, 67]
[36, 14, 22, 30, 45, 53]
[36, 14, 22, 30, 45, 54]
[36, 14, 22, 30, 45, 55]
[36, 14, 22, 30, 45, 56]
[36, 14, 22, 30, 45, 57]
[36, 14, 22, 30, 45, 59]
[36, 14, 22, 30, 45, 61]
[36, 14, 22, 30, 45, 67]
[36, 14, 22, 30, 45, 68]
[36, 14, 22, 30, 46, 53]
[36, 14, 22, 30, 46, 54]
[36, 14, 22, 30, 46, 55]
[36, 14, 22, 30, 46, 56]
[36, 14, 22, 30, 46, 57]
[36, 14, 22, 30, 46, 59]
[36, 14, 22, 30, 46, 61]
[36, 14, 22, 30, 46, 67]
[36, 14, 22, 30, 46, 68]
[36, 14, 22, 30, 48, 53]
[36, 14, 22, 30, 48, 54]
[36, 14, 22, 30, 48, 55]
[36, 14, 22, 30, 48, 56]
[36, 14, 22, 30, 48, 57]
[36, 14, 22, 30, 48, 59]
[36, 14, 22, 30, 48, 61]
[36, 14, 22, 30, 48, 67]
[36, 14, 22, 30, 48, 68]
[36, 14, 22, 30, 50, 55]
[36, 14, 22, 30, 50, 56]
[36, 14, 22, 30, 50, 57]
[36, 14, 22, 30, 50, 61]
[36, 14, 22, 30, 50, 67]
[36, 14, 22, 30, 50, 68]
[36, 14, 22, 30, 51, 55]
[36, 14, 22, 30, 51, 56]
[36, 14, 22, 30, 51, 57]
[36, 14, 22, 30, 51, 61]
[36, 14, 22, 30, 51, 67]
[36, 14, 22, 30, 51, 68]
[36, 14, 22, 31, 44, 53]
[36, 14, 22, 31, 44, 54]
[36, 14, 22, 31, 44, 56]
[36, 14, 22, 31, 44, 57]
[36, 14, 22, 31, 44, 59]
[36, 14, 22, 31, 44, 61]
[36, 14, 22, 31, 44, 67]
[36, 14, 22, 31, 45, 53]
[36, 14, 22, 31, 45, 54]
[36, 14, 22, 31, 45, 55]
[36, 14, 22, 31, 45, 56]
[36, 14, 22, 31, 45, 57]
[36, 14, 22, 31, 45, 59]
[36, 14, 22, 31, 45, 61]
[36, 14, 22, 31, 45, 67]
[36, 14, 22, 31, 45, 68]
[36, 14, 22, 31, 46, 53]
[36, 14, 22, 31, 46, 54]
[36, 14, 22, 31, 46, 55]
[36, 14, 22, 31, 46, 56]
[36, 14, 22, 31, 46, 57]
[36, 14, 22, 31, 46, 59]
[36, 14, 22, 31, 46, 61]
[36, 14, 22, 31, 46, 67]
[36, 14, 22, 31, 46, 68]
[36, 14, 22, 31, 48, 53]
[36, 14, 22, 31, 48, 54]
[36, 14, 22, 31, 48, 55]
[36, 14, 22, 31, 48, 56]
[36, 14, 22, 31, 48, 57]
[36, 14, 22, 31, 48, 59]
[36, 14, 22, 31, 48, 61]
[36, 14, 22, 31, 48, 67]
[36, 14, 22, 31, 48, 68]
[36, 14, 22, 31, 50, 55]
[36, 14, 22, 31, 50, 56]
[36, 14, 22, 31, 50, 57]
[36, 14, 22, 31, 50, 61]
[36, 14, 22, 31, 50, 67]
[36, 14, 22, 31, 50, 68]
[36, 14, 22, 31, 51, 55]
[36, 14, 22, 31, 51, 56]
[36, 14, 22, 31, 51, 57]
[36, 14, 22, 31, 51, 61]
[36, 14, 22, 31, 51, 67]
[36, 14, 22, 31, 51, 68]
[36, 14, 22, 32, 44, 56]
[36, 14, 22, 32, 44, 57]
[36, 14, 22, 32, 44, 61]
[36, 14, 22, 32, 44, 67]
[36, 14, 22, 32, 45, 55]
[36, 14, 22, 32, 45, 56]
[36, 14, 22, 32, 45, 57]
[36, 14, 22, 32, 45, 61]
[36, 14, 22, 32, 45, 67]
[36, 14, 22, 32, 45, 68]
[36, 14, 22, 32, 46, 55]
[36, 14, 22, 32, 46, 56]
[36, 14, 22, 32, 46, 57]
[36, 14, 22, 32, 46, 61]
[36, 14, 22, 32, 46, 67]
[36, 14, 22, 32, 46, 68]
[36, 14, 22, 32, 48, 55]
[36, 14, 22, 32, 48, 56]
[36, 14, 22, 32, 48, 57]
[36, 14, 22, 32, 48, 61]
[36, 14, 22, 32, 48, 67]
[36, 14, 22, 32, 48, 68]
[36, 14, 22, 35, 44, 53]
[36, 14, 22, 35, 44, 54]
[36, 14, 22, 35, 44, 56]
[36, 14, 22, 35, 44, 57]
[36, 14, 22, 35, 44, 59]
[36, 14, 22, 35, 44, 61]
[36, 14, 22, 35, 44, 67]
[36, 14, 22, 35, 45, 53]
[36, 14, 22, 35, 45, 54]
[36, 14, 22, 35, 45, 55]
[36, 14, 22, 35, 45, 56]
[36, 14, 22, 35, 45, 57]
[36, 14, 22, 35, 45, 59]
[36, 14, 22, 35, 45, 61]
[36, 14, 22, 35, 45, 67]
[36, 14, 22, 35, 45, 68]
[36, 14, 22, 35, 46, 53]
[36, 14, 22, 35, 46, 54]
[36, 14, 22, 35, 46, 55]
[36, 14, 22, 35, 46, 56]
[36, 14, 22, 35, 46, 57]
[36, 14, 22, 35, 46, 59]
[36, 14, 22, 35, 46, 61]
[36, 14, 22, 35, 46, 67]
[36, 14, 22, 35, 46, 68]
[36, 14, 22, 35, 48, 53]
[36, 14, 22, 35, 48, 54]
[36, 14, 22, 35, 48, 55]
[36, 14, 22, 35, 48, 56]
[36, 14, 22, 35, 48, 57]
[36, 14, 22, 35, 48, 59]
[36, 14, 22, 35, 48, 61]
[36, 14, 22, 35, 48, 67]
[36, 14, 22, 35, 48, 68]
